1K	1R	st'	2K	2A	2W	2R	2H	2M	2B	2G	st''	->	opt_action
0		1		-		0		0		0		0		0		0		10	1		-		->		p1_R_Ge
0		1		-		0		0		0		0		0		0		10	4		-		->		p1_R_Ge
0		1		-		0		0		0		0		0		0		10	5		-		->		p1_R_Ge
0		1		-		0		0		0		0		0		0		10	8		-		->		p1_R_Ke
0		1		-		0		0		0		0		0		1		0		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		2		0		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		3		0		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		3		0		1		-		->		p1_R_Ge
0		1		-		0		0		0		0		0		3		0		4		-		->		p1_R_Ge
0		1		-		0		0		0		0		0		3		0		5		-		->		p1_R_Ge
0		1		-		0		0		0		0		0		3		0		8		-		->		p1_R_Ke
0		1		-		0		0		0		0		0		3		2		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		3		3		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		3		4		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		3		6		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		3		7		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		3		10	0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		4		0		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		4		0		1		-		->		p1_R_Ge
0		1		-		0		0		0		0		0		4		0		4		-		->		p1_R_Ge
0		1		-		0		0		0		0		0		4		0		5		-		->		p1_R_Ge
0		1		-		0		0		0		0		0		4		0		8		-		->		p1_R_Ke
0		1		-		0		0		0		0		0		4		2		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		4		3		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		4		4		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		4		6		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		4		7		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		4		10	0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		5		0		0		-		->		p1_R_Me
0		1		-		0		0		0		0		0		6		0		0		-		->		p1_R_M
0		1		-		0		0		0		0		0		7		0		0		-		->		p1_R_M
0		1		-		0		0		0		0		0		7		0		1		-		->		p1_R_Ge
0		1		-		0		0		0		0		0		7		0		4		-		->		p1_R_Ge
