1K	1W	st'	2K	2A	2W	2R	2H	2M	2B	2G	st''	->	opt_action
0		1		-		0		0		0		0		6		0		2		0		-		->		p1_W_B
0		1		-		0		0		0		0		6		0		3		0		-		->		p1_W_B
0		1		-		0		0		0		0		6		0		4		0		-		->		p1_W_B
0		1		-		0		0		0		0		6		0		5		0		-		->		p1_W_H
0		1		-		0		0		0		0		6		0		6		0		-		->		p1_W_H
0		1		-		0		0		0		0		6		0		7		0		-		->		p1_W_H
0		1		-		0		0		0		0		6		0		8		0		-		->		p1_W_H
0		1		-		0		0		0		0		6		0		9		0		-		->		p1_W_H
0		1		-		0		0		0		0		6		0		10	0		-		->		p1_W_H
0		1		-		0		0		0		0		6		1		0		0		-		->		p1_W_M
0		1		-		0		0		0		0		6		2		0		0		-		->		p1_W_M
0		1		-		0		0		0		0		6		3		0		0		-		->		p1_W_M
0		1		-		0		0		0		0		6		4		0		0		-		->		p1_W_M
0		1		-		0		0		0		0		6		5		0		0		-		->		p1_W_H
0		1		-		0		0		0		0		6		6		0		0		-		->		p1_W_H
0		1		-		0		0		0		0		6		7		0		0		-		->		p1_W_H
0		1		-		0		0		0		0		7		0		0		0		-		->		p1_W_H
0		1		-		0		0		0		0		7		0		0		1		-		->		p1_W_G
0		1		-		0		0		0		0		7		0		0		2		-		->		p1_W_G
0		1		-		0		0		0		0		7		0		0		3		-		->		p1_W_G
0		1		-		0		0		0		0		7		0		0		4		-		->		p1_W_G
0		1		-		0		0		0		0		7		0		0		5		-		->		p1_W_G
0		1		-		0		0		0		0		7		0		0		6		-		->		p1_W_G
0		1		-		0		0		0		0		7		0		0		7		-		->		p1_W_G
0		1		-		0		0		0		0		7		0		0		8		-		->		p1_W_G
0		1		-		0		0		0		0		7		0		1		0		-		->		p1_W_B
0		1		-		0		0		0		0		7		0		2		0		-		->		p1_W_B
0		1		-		0		0		0		0		7		0		3		0		-		->		p1_W_B
0		1		-		0		0		0		0		7		0		4		0		-		->		p1_W_B
0		1		-		0		0		0		0		7		0		5		0		-		->		p1_W_H
0		1		-		0		0		0		0		7		0		6		0		-		->		p1_W_H
0		1		-		0		0		0		0		7		0		7		0		-		->		p1_W_H
0		1		-		0		0		0		0		7		0		8		0		-		->		p1_W_H
0		1		-		0		0		0		0		7		0		9		0		-		->		p1_W_H
0		1		-		0		0		0		0		7		0		10	0		-		->		p1_W_H
