([15, 10, array([0.78689332]), 1],)::	KendalltauResult(correlation=0.0365321345801873, pvalue=0.7940432863914137)
([15, 10, array([0.19905236]), 1],)::	KendalltauResult(correlation=0.0365321345801873, pvalue=0.7940432863914137)
([15, 10, array([0.15636449]), 1],)::	KendalltauResult(correlation=0.0365321345801873, pvalue=0.7940432863914137)
([15, 10, array([0.05146243]), 1],)::	KendalltauResult(correlation=0.0365321345801873, pvalue=0.7940432863914137)
([15, 10, array([0.03707302]), 1],)::	KendalltauResult(correlation=0.0365321345801873, pvalue=0.7940432863914137)
([15, 10, array([0.43451467]), 1],)::	KendalltauResult(correlation=0.0365321345801873, pvalue=0.7940432863914137)
([10, 10, 0.2, 1],)::	KendalltauResult(correlation=0.04215246297713919, pvalue=0.7632410266351464)
([36.60716439038515, 10, 0.2, 1],)::	KendalltauResult(correlation=-0.019671149389331625, pvalue=0.8882074136036375)
([10, 10, 0.2, 1],)::	KendalltauResult(correlation=0.2497588215089209, pvalue=0.07829557695037408)
([36.60716439038515, 10, 0.2, 1],)::	KendalltauResult(correlation=0.21530932888700074, pvalue=0.12906171612013756)
([104, 10, 0.2, 1],)::	KendalltauResult(correlation=0.1980845825760407, pvalue=0.16259788455137747)
([10.0, 10, 0.2, 1],)::	KendalltauResult(correlation=0.2497588215089209, pvalue=0.07829557695037408)
([10.00000001, 10, 0.2, 1],)::	KendalltauResult(correlation=0.2497588215089209, pvalue=0.07829557695037408)
([10, 30, 0.2, 1],)::	KendalltauResult(correlation=0.04283180608705537, pvalue=0.773859892445655)
([20, 30, 0.2, 1],)::	KendalltauResult(correlation=0.029652788829499874, pvalue=0.8423248913442594)
([30, 30, 0.2, 1],)::	KendalltauResult(correlation=0.1018668206648237, pvalue=0.4933729772463876)
([40, 30, 0.2, 1],)::	KendalltauResult(correlation=0.21387481129155084, pvalue=0.15088256529680213)
([50, 30, 0.2, 1],)::	KendalltauResult(correlation=0.2595960913716475, pvalue=0.080893034126117)
